feature_id	gene_symbol	chromosome_name	logFC	CI.L	CI.R	logLik	t	AveExpr	p_value	adj_p_value	contrast	full_model	assay	entrez_gene	ensembl_gene	custom_annotation	relationship_to_gene	uniprot	refmet_name	kegg_id	flanking_sequence
P31146	CORO1A	16	-0.00350148212935438	-0.38978111974198	0.382778155483272	NA	-0.0187522174889342	-0.749756505979004	0.985200593684756	0.994611985674438	SexMale	~ Sex	prot-pr	11151	ENSG00000102879	NA	NA	P31146	NA	NA	NA
Q9BQ15	NABP2	12	-0.00163219488480175	-0.18233462382894	0.179070234059336	10.5588682397774	-0.0186857508881895	0.296015193086432	0.98525304329828	0.994611985674438	SexMale	~ Sex	prot-pr	79035	ENSG00000139579	NA	NA	Q9BQ15	NA	NA	NA
Q9Y485	DMXL1	5	0.00134949135442157	-0.153381609633331	0.156080592342174	8.75243543788027	0.0180424297612391	0.211792309404647	0.985760699402097	0.994797674342695	SexMale	~ Sex	prot-pr	1657	ENSG00000172869	NA	NA	Q9Y485	NA	NA	NA
P78417	GSTO1	10	-0.00151947367258799	-0.17794138469732	0.174902437352144	7.41607646894865	-0.0178173532291369	0.0903560485632082	0.985938312746092	0.994797674342695	SexMale	~ Sex	prot-pr	9446	ENSG00000148834	NA	NA	P78417	NA	NA	NA
Q8N9R8	SCAI	9	0.000973209334357791	-0.114551962209529	0.116498380878244	14.0622225776755	0.0178597549696973	-0.242136617127112	0.985971735919638	0.994797674342695	SexMale	~ Sex	prot-pr	286205	ENSG00000173611	NA	NA	Q8N9R8	NA	NA	NA
Q14678	KANK1	9	-0.00105061973083166	-0.124152742839242	0.122051503377579	-1.06094345765377	-0.017655602478615	0.530362010348917	0.986065954641307	0.994797674342695	SexMale	~ Sex	prot-pr	23189	ENSG00000107104	NA	NA	Q14678	NA	NA	NA
Q9H939	PSTPIP2	18	0.00173260557271262	-0.201455984445281	0.204921195590706	1.61935607992197	0.01764017636028	0.515058872412502	0.986078127828734	0.994797674342695	SexMale	~ Sex	prot-pr	9050	ENSG00000152229	NA	NA	Q9H939	NA	NA	NA
Q96EP0	RNF31	14	-0.000859384631657588	-0.105045819183963	0.103327049920648	-0.527459038056149	-0.0170639252298848	0.479503237006831	0.986532866386961	0.995087664829638	SexMale	~ Sex	prot-pr	55072	ENSG00000285152	NA	NA	Q96EP0	NA	NA	NA
Q9H9T3	ELP3	8	-0.00101311973447388	-0.124656866993004	0.122630627524056	9.89803795566906	-0.0169508370421257	-0.242206045044451	0.986622108516316	0.995087664829638	SexMale	~ Sex	prot-pr	55140	ENSG00000134014	NA	NA	Q9H9T3	NA	NA	NA
P09172	DBH	9	-0.00267656264194941	-0.344740289850704	0.339387164566805	0.958350609708513	-0.0166793470599023	0.0441986372633844	0.986912451508684	0.995251111244556	SexMale	~ Sex	prot-pr	1621	ENSG00000123454	NA	NA	P09172	NA	NA	NA
Q13523	PRPF4B	NA	-0.00112399989716647	-0.147340698420838	0.145092698626505	5.84242404781094	-0.0159027353061456	-0.0852037033739869	0.987449213233978	0.995432713414354	SexMale	~ Sex	prot-pr	8899	ENSG00000112739	NA	NA	Q13523	NA	NA	NA
