"tissue","assay","feature_id","logFC_precawg","CI.L_precawg","CI.R_precawg","adj_p_value_precawg","randomGroupCode","Timepoint","platform","logFC_sex_diff","CI.L_sex_diff","CI.R_sex_diff","adj_p_value_sex_diff","entrez_gene","gene_symbol","ensembl_gene","uniprot","refmet_name","refmet_id","kegg_id"
"blood","transcript-rna-seq","ENSG00000111052.8",0.456151875070276,0.253273976186155,0.659029773954397,0.000224988483825448,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.334688280547767,-0.55764824952169,-0.111728311573844,0.038911502627139,"8825","LIN7A","ENSG00000111052",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000146425.11",0.33498436324002,0.185946203520975,0.484022522959065,0.000226074202586228,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.295901263756417,-0.468664945683415,-0.12313758182942,0.0142453876056744,"6993","DYNLT1","ENSG00000146425",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000116489.13",0.320117237482902,0.17765066407685,0.462583810888955,0.000226684929856631,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.254408636563111,-0.412367368370398,-0.096449904755825,0.0229204738596045,"829","CAPZA1","ENSG00000116489",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000103335.22",-0.239502150099911,-0.346126251762172,-0.13287804843765,0.000228041029212315,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.213278058955442,0.0948047206279399,0.331751397282944,0.00925509696442019,"9780","PIEZO1","ENSG00000103335",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000163131.12",0.24530339740704,0.136092701123238,0.354514093690843,0.000228315288306683,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.271635866664353,-0.401961205226566,-0.141310528102139,0.00243153984222184,"1520","CTSS","ENSG00000163131",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000167193.8",0.297556231445444,0.164970541733922,0.430141921156967,0.000231169759933731,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.280898672738644,-0.433050288171095,-0.128747057306193,0.00736095279783477,"1398","CRK","ENSG00000167193",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000158717.11",0.225705074208122,0.124973794927111,0.326436353489133,0.000238221243392583,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.208914249156248,-0.323097937620611,-0.0947305606918841,0.00799767838279296,"115992","RNF166","ENSG00000158717",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000177105.10",0.323850768086459,0.179289174068613,0.468412362104304,0.00023842785176671,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.276112938230005,-0.440874099911096,-0.111351776548914,0.016870129895505,"391","RHOG","ENSG00000177105",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000113263.13",-0.374517523665483,-0.541762127339805,-0.207272919991161,0.000239506066254311,"ADUResist","post_3.5_4_hr","transcript-rna-seq",0.287032690439734,0.100701360833247,0.473364020046221,0.0325164715324698,"3702","ITK","ENSG00000113263",NA,NA,NA,NA
"blood","transcript-rna-seq","ENSG00000177156.11",0.338978860609243,0.187545679317135,0.490412041901351,0.000240904048624794,"ADUResist","post_3.5_4_hr","transcript-rna-seq",-0.311541717750186,-0.483114658128769,-0.139968777371604,0.00855799842289325,"6888","TALDO1","ENSG00000177156",NA,NA,NA,NA
