"uniprot","feature_id","gene_symbol","name","n_measure","n_tissue","n_cell","n_common","hacells_label","emblcells_label","cell label score","cell label","haatlas_label","emblatlas_label","mspatlas_label","msratlas_label","tissue label score","tissue label","Gobal label score (GLS)","Global label"
"P04216","OID21050","THY1","Thy-1 cell surface antigen",4,4,0,1,"","",0,"","brain","brain,kidney","brain","common",2.45,"brain",2.45,"brain"
"P04233","OID21040","CD74","CD74 molecule",6,4,2,3,"common","bcell",1,"bcell","common","spleen","spleen","common",2,"spleen",2,"common"
"P05164","OID21100","MPO","myeloperoxidase",6,4,2,0,"neutrophils","monocytes,neutrophils",1.45,"neutrophils","bonemarrow","bonemarrow","spleen","spleen",4,"bonemarrow.spleen",4,"bonemarrow.spleen"
"P06127","OID21449","CD5","CD5 molecule",6,4,2,0,"tcellcd4,tcellcd8","tcellcd4,tcellcd8",1.8,"tcellcd4.tcellcd8","colon","bonemarrow,spleen","spleen","spleen",2.45,"spleen",2.45,"spleen"
"P06756","OID21416","ITGAV","integrin subunit alpha V",6,4,2,2,"bcell","macrophage",2,"bcell.macrophages","common","heart","artery","common",2,"artery.heart",2,"bcell.macrophages"
"P07148","OID20778","FABP1","fatty acid binding protein 1",5,4,1,0,"bcell,tcellcd8","",0.9,"bcell.tcellcd8","liver","liver","liver","liver",4,"liver",4,"liver"
"P08254","OID21083","MMP3","matrix metallopeptidase 3",3,3,0,0,"","",0,"","","nerve","nerve","nerve",3,"nerve",3,"nerve"
"P08473","OID21307","MME","membrane metalloendopeptidase",6,4,2,0,"tcellcd4","neutrophils",2,"neutrophils.tcellcd4","kidney","kidney","muscle","lung",2,"kidney",2,"neutrophils.tcellcd4"
"P09758","OID21447","TACSTD2","tumor associated calcium signal transducer 2",6,4,2,1,"tcellcd4","neutrophils",2,"neutrophils.tcellcd4","lung","esophagus","esophagus,skin","common",1.45,"esophagus",2,"neutrophils.tcellcd4"
"P09769","OID20828","FGR","FGR proto-oncogene, Src family tyrosine kinase",6,4,2,0,"monocytes,neutrophils","macrophage",1,"macrophages","brain","bonemarrow,spleen","spleen","lung,spleen",1.9,"spleen",1.9,"spleen"
"P10144","OID20604","GZMB","granzyme B",4,2,2,0,"bcell,tcellcd8","tcellcd8",1.45,"tcellcd8","stomach","spleen","","",2,"spleen.stomach",2,"spleen.stomach"
"P10147","OID20610","CCL3","C-C motif chemokine ligand 3",2,1,1,0,"","macrophage",1,"macrophages","","bonemarrow","","",1,"bonemarrow",1,"macrophages"
"P11684","OID20688","SCGB1A1","secretoglobin family 1A member 1",5,4,1,0,"bcell","",1,"bcell","adiposetissue,heart","lung","lung","lung",3,"lung",3,"lung"
"P12104","OID20200","FABP2","fatty acid binding protein 2",5,4,1,2,"common","",0,"","common","colon","colon","colon",3,"colon",3,"colon"
"P12724","OID20203","RNASE3","ribonuclease A family member 3",6,4,2,0,"neutrophils","neutrophils",2,"neutrophils","bonemarrow","bonemarrow","spleen","spleen",4,"bonemarrow.spleen",4,"bonemarrow.spleen"
"P13611","OID21026","VCAN","versican",6,4,2,1,"erythrocytes","monocytes",2,"erythrocytes.monocytes","brain","artery","artery","common",2,"artery",2,"erythrocytes.monocytes"
"P14207","OID21062","FOLR2","folate receptor beta",6,4,2,2,"macrophages,neutrophils","monocytes",1,"monocytes","common","adiposetissue","nerve","common",2,"adiposetissue.nerve",2,"adiposetissue.nerve"
"P14210","OID20656","HGF","hepatocyte growth factor",6,4,2,1,"macrophages","monocytes,neutrophils",1,"macrophages","lung,nerve","liver","artery","common",2,"artery.liver",2,"artery.liver"
"P14384","OID21054","CPM","carboxypeptidase M",6,4,2,2,"macrophages","macrophage",2,"macrophages","common","adiposetissue","ovary","common",2,"adiposetissue.ovary",2,"macrophages"
"P14778","OID21116","IL1R1","interleukin 1 receptor type 1",6,4,2,1,"macrophages,monocytes","neutrophils",1,"neutrophils","brain","adiposetissue","lung","common",3,"adiposetissue.brain.lung",3,"adiposetissue.brain.lung"
